Facility	Latitude	Longitude	Total On-site Disposal or Other Releases	Total Off-site Disposal or Other Releases	Total On- and Off-site Disposal or Other Releases
"CHEMICAL WASTE MANAGEMENT - LA KE CHARLES FACILITY.7170 JOHN BRANNON RD, SULPHUR LOUISIANA 70665 (CALCASIEU PARISH)"	30.12	-93.401	"5,965,357.01"	"14,323.00"	"5,979,680.01"
"CLIMAX MOLYBDENUM CO-HENDERSON MINE.9 MILES W OF EMPIRE, EMPIRE COLORADO 80438 (CLEAR CREEK)"	39.759	-105.84	"1,711,810.00"	"4,110,000.00"	"5,821,810.00"
"TITANIUM METALS CORP.181 N WATER ST, HENDERSON NEVADA 89015 (CLARK)"	36.04	-114.994	"3,216,860.00"	"2,594,740.00"	"5,811,600.00"
"DTE ELECTRIC CO-BELLE RIVER POWER PLANT.4505 KING RD, CHINA TOWNSHIP MICHIGAN 48054 (ST CLAIR)"	42.773	-82.512	"5,750,762.39"	9.2	"5,750,771.59"
"CHEMICAL WASTE MANAGEMENT INC.35251 OLD SKYLINE RD, KETTLEMAN CITY CALIFORNIA 93239 (KINGS)"	35.959	-120.009	"5,664,827.30"	"3,842.20"	"5,668,669.50"
"INTERNATIONAL PAPER CO.890 IP LN, VALLIANT OKLAHOMA 74764 (MCCURTAIN)"	33.999	-95.11	"5,626,519.14"	0	"5,626,519.14"
"P4 PRODUCTION LLC.1853 HWY 34, SODA SPRINGS IDAHO 83276 (CARIBOU)"	42.686	-111.587	"5,617,224.34"	17.507	"5,617,241.85"
"EASTMAN CHEMICAL CO TENNESSEE OPERATIONS.100 EASTMAN RD, KINGSPORT TENNESSEE 37660 (SULLIVAN)"	36.522	-82.541	"5,608,222.03"	"4,220.00"	"5,612,442.03"
"DYNO NOBEL INC-CHEYENNE PLANT.8305 OTTO RD, CHEYENNE WYOMING 82001 (LARAMIE)"	41.095	-104.906	"5,591,060.00"	.	"5,591,060.00"
"XCEL ENERGY SHERBURNE COUNTY GENERATING PLANT.13999 INDUSTRIAL BLVD, BECKER MINNESOTA 55308 (SHERBURNE)"	45.379	-93.896	"5,559,924.81"	5	"5,559,929.81"
"CRISTAL USA INC.2426 MIDDLE RD, ASHTABULA OHIO 44004 (ASHTABULA)"	41.889	-80.764	"5,551,075.60"	.	"5,551,075.60"
"US SILVER - IDAHO INC.1041 LAKE GULCH RD, WALLACE IDAHO 83873 (SHOSHONE)"	47.502	-115.983	"5,523,402.07"	.	"5,523,402.07"
"LYONDELL CHEMICAL CO.2502 SHELDON RD, CHANNELVIEW TEXAS 77530 (HARRIS)"	29.817	-95.108	"5,399,892.70"	"39,472.00"	"5,439,364.70"
"MINNKOTA POWER COOPERATIVE INC MILTON R YOUNG STATION.3401 24 ST SW, CENTER NORTH DAKOTA 58530 (OLIVER)"	47.066	-101.214	"4,204,291.10"	"1,164,681.66"	"5,368,972.76"
"FLETCHER MINE/MILL.230 COUNTY ROAD 849, CENTERVILLE MISSOURI 63633 (REYNOLDS)"	37.467	-91.11	"5,354,127.00"	"4,498.00"	"5,358,625.00"
"BASF CORP ATTAPULGUS OPS.141 ENGELHARD RD, ATTAPULGUS GEORGIA 39815 (DECATUR)"	30.738	-84.494	"5,260,258.00"	702	"5,260,960.00"
"CONEMAUGH POWER PLANT.1442 POWER PLANT RD, NEW FLORENCE PENNSYLVANIA 15944 (INDIANA)"	40.384	-79.061	"5,251,637.90"	.	"5,251,637.90"
"INTERNATIONAL PAPER CO - MANSFIELD MILL.1202 LOUISIANA HWY 509 NE, MANSFIELD LOUISIANA 71052 (DE SOTO PARISH)"	32.159	-93.557	"5,217,479.43"	.	"5,217,479.43"
"AK STEEL CORP COSHOCTON WORKS.17400 STATE RT 16, COSHOCTON OHIO 43812 (COSHOCTON)"	40.207	-81.885	"4,701,760.65"	"319,143.49"	"5,020,904.14"
"ST JOHNS RIVER POWER PARK/NORTHSIDE GENERATING STATION.11201 NEW BERLIN RD, JACKSONVILLE FLORIDA 32226 (DUVAL)"	30.418	-81.552	"1,477,750.99"	"3,526,241.14"	"5,003,992.13"
"PRINCE ERACHEM INC - NEW JOHNSONVILLE FACILITY.795 FOOTE LN, NEW JOHNSONVILLE TENNESSEE 37134 (HUMPHREYS)"	35.996	-87.979	"4,974,051.97"	.	"4,974,051.97"
"DUKE ENERGY INDIANA INC - GIBSON GENERATING STATION.1097 N 950 W, OWENSVILLE INDIANA 47665 (GIBSON)"	38.221	-87.455	"4,966,824.01"	406.9	"4,967,230.91"
"CLEAN HARBORS LONE MOUNTAIN LLC LONE MOUNTAIN FACILITY.5 MILES E & 1 MILE N OF JUNCTION US HWYS 412 & 281, WAYNOKA OKLAHOMA 73860 (MAJOR)"	36.434	-98.803	"4,805,384.70"	646.025419	"4,806,030.73"
"WAYNE DISPOSAL INC.49350 N I-94 SERVICE DR, BELLEVILLE MICHIGAN 48111 (WAYNE)"	42.219	-83.523	"4,785,010.53"	140.38	"4,785,150.91"
"USS MON VALLEY WORKS - EDGAR THOMSON PLANT.BRADDOCK AVE & 13TH ST, BRADDOCK PENNSYLVANIA 15104 (ALLEGHENY)"	40.397	-79.86	"170,877.57"	"4,608,589.93"	"4,779,467.50"
"CPI USA NORTH CAROLINA LLC.1281 POWER HO US E DR SE, SOUTHPORT NORTH CAROLINA 28461 (BRUNSWICK)"	33.943	-78.009	"237,706.49"	"4,528,026.00"	"4,765,732.49"
"ALABAMA RIVER CELLULOSE LLC.2373 LENA LANDEGGER HWY, PERDUE HILL ALABAMA 36470 (MONROE)"	31.58	-87.49	"4,618,546.01"	.	"4,618,546.01"
"US TVA CUMBERLAND FOSSIL PLANT.815 CUMBERLAND CITY RD, CUMBERLAND CITY TENNESSEE 37050 (STEWART)"	36.39	-87.654	"4,607,203.51"	23	"4,607,226.51"
"PCS PHOSPHATE CO INC.1530 NC HWY 306 S, AURORA NORTH CAROLINA 27806 (BEAUFORT)"	35.377	-76.779	"4,467,809.90"	"7,830.20"	"4,475,640.10"
